action,timestamp,path,payload
NOTIFY,1499075129452,rideService/heartRateAvailability,TRUE
NOTIFY,1499075129452,rideService/cadenceAvailability,FALSE
NOTIFY,1499075129452,mobile/locationAvailability,TRUE
NOTIFY,1499075129452,hub/motorInterfaceId,NONE
NOTIFY,1499075129506,rideService/speed,0
NOTIFY,1499075129506,rideService/userPower,0
NOTIFY,1499075129506,tourService/ridingDuration,0
NOTIFY,1499075129506,tourService/ridingDistance,0
NOTIFY,1499075129506,tourService/ridingDuration,0
NOTIFY,1499075129506,tourService/ridingDuration,0
NOTIFY,1499075129506,tourService/ascent,0
NOTIFY,1499075129506,tourService/calories,0.002185098
NOTIFY,1499075129601,rideService/speed,0
NOTIFY,1499075129601,rideService/userPower,0
NOTIFY,1499075129601,tourService/ridingDuration,0
NOTIFY,1499075129601,tourService/ridingDistance,0
NOTIFY,1499075129601,tourService/ridingDuration,0
NOTIFY,1499075129601,tourService/ridingDuration,0
NOTIFY,1499075129602,tourService/ascent,0
NOTIFY,1499075129602,tourService/calories,0.004253782
NOTIFY,1499075129706,rideService/speed,0
NOTIFY,1499075129706,rideService/userPower,0
NOTIFY,1499075129706,tourService/ridingDuration,0
NOTIFY,1499075129707,tourService/ridingDistance,0
NOTIFY,1499075129707,tourService/ridingDuration,0
NOTIFY,1499075129707,tourService/ridingDuration,0
NOTIFY,1499075129707,tourService/ascent,0
NOTIFY,1499075129707,tourService/calories,0.006535462
NOTIFY,1499075129905,rideService/speed,0
NOTIFY,1499075129906,rideService/userPower,0
NOTIFY,1499075129908,rideService/speed,0
NOTIFY,1499075129908,rideService/userPower,0
NOTIFY,1499075129917,tourService/ridingDuration,0
NOTIFY,1499075130100,tourService/ridingDistance,0
NOTIFY,1499075130101,rideService/speed,0
NOTIFY,1499075130101,rideService/userPower,0
NOTIFY,1499075130107,rideService/speed,0
NOTIFY,1499075130107,rideService/userPower,0
NOTIFY,1499075130109,tourService/ridingDuration,0
NOTIFY,1499075130111,tourService/ridingDuration,0
NOTIFY,1499075130113,tourService/ascent,0
NOTIFY,1499075130118,tourService/calories,0.008711469
NOTIFY,1499075130121,tourService/ridingDuration,0
NOTIFY,1499075130122,tourService/ridingDistance,0
NOTIFY,1499075130124,mobile/location,
NOTIFY,1499075130124,tourService/ridingDuration,0
NOTIFY,1499075130124,tourService/ridingDuration,0
NOTIFY,1499075130124,tourService/ascent,0
NOTIFY,1499075130124,tourService/calories,0.0108564
NOTIFY,1499075130124,tourService/ridingDuration,0
NOTIFY,1499075130124,tourService/ridingDistance,0
NOTIFY,1499075130124,tourService/ridingDuration,0
NOTIFY,1499075130124,tourService/ridingDuration,0
NOTIFY,1499075130124,tourService/ascent,0
NOTIFY,1499075130124,tourService/calories,0.01301725
NOTIFY,1499075130125,tourService/ridingDuration,0
NOTIFY,1499075130125,tourService/ridingDistance,0
NOTIFY,1499075130125,tourService/ridingDuration,0
NOTIFY,1499075130125,tourService/ridingDuration,0
NOTIFY,1499075130125,tourService/ascent,0
NOTIFY,1499075130125,tourService/calories,0.015213158
NOTIFY,1499075130207,rideService/speed,0.058902428
NOTIFY,1499075130207,rideService/userPower,0
NOTIFY,1499075130212,tourService/ridingDuration,0
NOTIFY,1499075130212,tourService/ridingDistance,0
NOTIFY,1499075130213,tourService/ridingDuration,0
NOTIFY,1499075130213,tourService/ridingDuration,0
NOTIFY,1499075130213,tourService/ridingDuration,0
NOTIFY,1499075130213,tourService/ascent,0
NOTIFY,1499075130213,tourService/calories,0.024681656
NOTIFY,1499075130306,rideService/speed,0.058902428
NOTIFY,1499075130306,rideService/userPower,5
NOTIFY,1499075130306,tourService/ridingDuration,0
NOTIFY,1499075130306,tourService/ridingDistance,0
NOTIFY,1499075130307,tourService/ridingDuration,0
NOTIFY,1499075130307,tourService/ridingDuration,0
NOTIFY,1499075130307,tourService/ascent,0
NOTIFY,1499075130307,tourService/calories,0.034427799
NOTIFY,1499075130406,rideService/speed,0.058902428
NOTIFY,1499075130406,rideService/userPower,10
NOTIFY,1499075130409,tourService/ridingDuration,0
NOTIFY,1499075130409,tourService/ridingDistance,0
NOTIFY,1499075130409,tourService/ridingDuration,0
NOTIFY,1499075130409,tourService/ridingDuration,0
NOTIFY,1499075130409,tourService/ascent,0
NOTIFY,1499075130409,tourService/calories,0.044104245
NOTIFY,1499075130505,rideService/speed,0.058902428
NOTIFY,1499075130505,rideService/userPower,15
NOTIFY,1499075130506,tourService/ridingDuration,0
NOTIFY,1499075130506,tourService/ridingDistance,0
